from,to,date,origin
43321,19415,17120627,-
27459,36220,16230722,-
6196,451,16590425,-
2184,7746,16390514,-
6979,27440,16830320,Newmarket
10418,24978,17070805,Lisbon
9737,33530,16451210,Derby House
4263,34115,16610509,"The Paradox, near Dublin"
41059,38454,16090718,-
41323,34115,16700226,Ordnance Office
1573,45118,16930608,Wolfenb&#x00FC;ttel
12788,51965,16290228,-
44589,42999,16631116,-
30818,10580,16190222,Southampton
40994,47684,17060213,Whitehall
6098,34115,16730131,"The Essex ketch, Harwich"
38454,31964,16100124,-
45879,38526,16440525,Derby House
13045,43746,16190506,-
1603,31641,16200529,-
20945,51174,16040112,-
50614,6978,16320602,-
32077,40180,16390213,-
42006,41287,16300904,Stokes Bay
25920,20945,16100113,-
48109,42999,16670206,Falmouth
11172,42428,17031227,Whitehall
43101,41533,16400722,Berwick
35092,34500,16470123,Belfast
45063,39896,16650409,Portsmouth
20980,42891,16270716,Whitehall
24053,20912,16670415,Weymouth
44589,34115,16670620,-
9737,451,16451114,Derby House
16269,41533,16400719,Cirencester
36390,44285,16390709,-
16731,28343,16280404,-
21177,35229,16990418,London
10612,34115,16511014,-
51239,41287,16260727,-
48286,34115,16630409,-
48109,20912,16700106,Falmouth
44542,7746,16370907,-
10580,32090,16410730,-
10938,40180,16400729,-
6979,28068,16731028,Whitehall
41952,33418,16260120,Lees
3043,27115,16590814,-
22759,44566,16070124,Tottenham
451,44021,16300401,-
9157,40994,17060704,Transport Office
25923,27242,16990107,-
23941,41554,16190416,"Bishop&#x0027;s Palace, Norwich"
16632,42999,16670730,Dublin
41488,42999,16721129,Gravesend
42320,41452,16410101,-
15020,44285,16411216,The Hague
24725,44589,16660228,Bristol
12638,13045,16190922,-
37299,42999,16670204,Yarmouth
16155,42999,16750423,Lisbon
42296,44566,16051231,-
7342,6978,16380731,-
52301,19931,16220107,-
47570,20912,16720730,Kinsale
56105,44374,16030919,-
43400,13045,16170309,-
28068,43025,16810821,Cork
38098,42999,16770227,Deal
38812,42999,16670803,Edinburgh
3812,451,16560226,-
41452,36871,16381201,-
42651,41287,16270526,Dover Castle
37276,33726,16390305,Rotterdam
19394,30876,16910324,Whitehall
11175,34115,16680508,-
19858,42999,16761114,Portsmouth
43400,38454,16100624,-
54403,7072,16950423,Dublin Council Chamber
8814,39896,16660927,Portsmouth
24984,13045,16310331,-
14200,20905,16250428,-
52227,34115,16680621,"Harwich hoy,Dover Pier"
51973,451,16521221,-
22698,42999,16671020,Plymouth
6979,11520,16770531,Whitehall
451,42405,16350704,Whitehall
47443,10086,16601231,-
7504,34115,16530106,-
13045,28917,16140624,-
34115,451,16570706,-
40049,13045,16150601,-
14704,37761,16180109,-
34115,20946,16670812,St. James&#x0027;s
39016,28273,16850630,Whitehall
22636,42999,16710202,Dover
52608,17218,16221219,-
6925,43025,16810527,Lisbon
19287,54876,16700705,Whitehall
42787,41287,16330809,The Downs
48138,44182,16131118,Whitehall
40994,41747,17020916,Bath
47367,42999,16760320,Bridlington
43025,2639,16800611,Whitehall
24984,7746,16371126,-
16948,38454,16041031,-
42794,13045,16171130,-
37801,41533,16380119,Bishopthorpe
40871,29737,16590825,Whitehall
13045,46535,16290811,Bagshot
38800,27654,16831117,-
13045,14200,16270818,-
43820,44566,16080228,Newmarket
5889,451,16530731,-
13045,36051,16270916,-
16155,42999,16691223,Lisbon
24913,34115,16691026,Deptford
44832,28175,16970412,Whitehall
44285,13045,16290929,-
24263,50697,16361128,-
5602,34115,16671221,"The Diamond, Hull"
43400,38454,16040423,Flushing
3395,451,16551022,-
19415,27955,17110602,-
13045,43746,16210113,-
24656,41287,16281231,-
35599,39896,16640125,-
35915,40180,16641228,London
40980,38454,16090211,-
43613,14200,16260708,-
14176,13045,16160502,-
40875,50697,16330606,-
47433,34115,16730507,-
4806,34115,16680414,-
429,34115,16490403,-
9683,17681,16270226,-
43025,19407,16810813,Whitehall
7628,42999,16781111,"King Street, Bloomsbury"
41783,13045,16190816,London
10506,42986,16280731,-
41290,11172,17031016,-
7504,34115,16680115,Woolwich
23845,34115,16710428,Portsmouth
18345,13045,16150530,-
42773,13045,16250102,London
42144,20905,16290317,-
18345,13045,16121013,-
1051,10612,16521122,-
19371,38454,16091029,-
22745,42069,16440730,-
6411,41287,16351027,-
36139,45118,16231010,-
5057,11172,16920504,Portsmouth
44542,7746,16350228,-
13045,46438,16190821,-
13307,17691,16401031,-
30064,35034,16260802,-
40862,28211,16080213,-
36220,28068,16730926,Whitehall
38750,42999,16681103,Dublin
13128,16743,16320331,-
18025,20905,16280823,-
5324,34113,16511128,"The Leopard, Leghorn Road"
