id,person_name
46513,The Lord Chancellor
19172,"Henry Howard, Earl of Northampton"
31641,Miguel Dias Santiago
8390,Colonel Humphrey Mackworth
43259,Sir Peter Wiche
46274,The East India Company
15419,Farmers and Officers of the Customs
22293,John Astwicke
37606,Richard Harvey
39680,Salici
11544,Dean and Chapter of Winchester
42597,Sir John Gell
38526,"Robert Devereux, Earl of Essex"
7428,Christopher Cusack
52795,"William, Lord Paget"
51986,"William Lenthal, Speaker of the House of Commons"
52621,William Underhill
8674,Colonel Rigby
16950,Gentlemen of Leicestershire
32394,Mr. Browne
29417,Major George Rawdon
44374,Sir Thomas Wilson
41471,Sir Francis Godolphin
27649,Lord Justices
17769,Gerald Leynes
43925,Sir Stephen le Sieur
32832,Mr. Haynes
36008,President and Fellows of Magdelen College
44569,Sir William Clarke
40163,Secretary Weld
28226,Lords of the Council
42355,Sir Jn. Pooley
9668,Commissioners of the Great Seal
34012,Nathaniel Bradley
28170,Lords Justices
12920,Dr. Warner
25899,King Dom Pedro II
44241,Sir Thomas Osborne
23374,John Hobson
15894,Francis Bellot
582,Alcalde at Sal&#x00E9;
41364,Sir Edward Zouch
22869,John Dickenson
9673,Commissioners of the King&#x0027;s Revenue
33797,Mrs. Hargrave
14454,"Edward Montagu, Earl of Sandwich"
30664,Matthew Bradley
51804,"William Herbert, Earl of Pembroke"
16410,Frederick Augustus
2981,Brigadier Stuart
15163,English Commissaries
51199,William Bridgeman
33662,Mr. William Packer
32262,Mr. Baron Turton
15471,Father Patrick McGinn
43005,Sir Julius Caesar
28188,Lords Treasury
41747,Sir George Rooke
15202,Ensign Nath. Owen
29712,Major-General Browne
37068,Rich. Hutchinson
21274,Jane Goffe
42576,Sir John Finch
20552,J. Turner
36152,Prince&#x0027;S Council
38934,"Robert Rich, Earl of Warwick"
32057,Morgan Read
18633,Hannah Ferguson
5637,Captain John Pearse
6031,Captain Robert Nixon
8932,Colonel-General Poyntz
41589,Sir Gabriel Lowe
8908,Colonel William Legg
41347,Sir Edward Ward
27544,Lord General
19559,"Henry, Viscount Valentia"
50170,Viceroy of Portugal
30654,Mattheo De Renzi
24978,Joseph Addison
33530,Mr. Thomas Hatcher
47684,Thomas Coleby
31964,Monsieur La Boderie
51174,"William Bowyer, Captain of Berwick"
42428,Sir John Blencowe
34500,Norris
42891,Sir John Strangeways
28343,Lucas Gutierez
35229,Paul Methuen
33418,Mr. Scott
27115,Lockhart
44021,Sir Thomas Button
27242,Lord Carmichael
41554,Sir Fulke Greville
19931,Humfrye Nycoll
36871,Remembrancer of the Exchequer
33726,Mrs. Alice Cambell
30876,Mayor and Burgesses of Liverpool
11520,Dean and Chapter of Exeter
10086,Committee of the Navy
28917,M. d&#x0027;Athenes
37761,Richard Marsh
28273,"Louis Duras, Earl of Feversham"
54876,NA
2639,Bevil Skelton
29737,Major-General Lambert
27654,Lord Keeper
36051,President of the States General
19407,"Henry Somerset, Duke of Beaufort"
42986,Sir Jones
42069,Sir Henry Viscount Dunbar
35034,Padre Veda
28211,Lords of Privy Council
16743,"Gaston, Duke of Orleans"
34113,Navy Committee
52683,William Weld
39168,Robert Worth
6912,Charles Delafaye
25316,Justice Freeman
22969,John Ellis
16865,General Preston
33326,Mr. Randoll
13523,Earl of Orford
12908,Dr. W. Walker
15944,"Francis Clifford, Earl of Cumberland"
15232,"Ernest Augustus, Duke of Brunswick and Luneburg"
51814,William Hewer
39815,Samuel Eyre
30401,Master and Fellows of Christ&#x0027; College
19168,Henry Howard
32875,Mr. Hough at Margate
8649,Colonel Rainsborough
8326,Colonel Hacker
